category,commonMistakes,description,difficulty,equipment,force,gifUrl,id,imageUrl,instructions,isEnriched,mechanic,name,nameHi,nameHindi,nameMarathi,nameMr,overview,primaryMuscles,safetyTips,secondaryMuscles,source,videoUrl
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,beginner,body only,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/3_4%20Sit-Up.gif,yuhonas_3_4_Sit-Up,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/3_4_Sit-Up/0.jpg,"Lie down on the floor and secure your feet. Your legs should be bent at the knees.; Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position.; Flex your hips and spine to raise your torso toward your knees.; At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only Â¾ of the way down.; Repeat for the recommended amount of repetitions.",True,compound,3/4 Sit-Up,3/4 Sit-Up (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),3/4 Sit-Up,3/4 Sit-Up,3/4 Sit-Up (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,abdominals,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,,yuhonas/free-exercise-db,
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,beginner,body only,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/90_90%20Hamstring.gif,yuhonas_90_90_Hamstring,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/90_90_Hamstring/0.jpg,"Lie on your back, with one leg extended straight out.; With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position.; Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position.; Repeat for 10-20 repetitions, and then switch to the other leg.",True,compound,90/90 Hamstring,90/90 Hamstring (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),90/90 Hamstring,90/90 Hamstring,90/90 Hamstring (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,hamstrings,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,calves,yuhonas/free-exercise-db,
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,intermediate,machine,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Ab%20Crunch%20Machine.gif,yuhonas_Ab_Crunch_Machine,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ab_Crunch_Machine/0.jpg,"Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.; At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet.; After a second pause, slowly return to the starting position as you breathe in.; Repeat the movement for the prescribed amount of repetitions.",True,compound,Ab Crunch Machine,Ab Crunch Machine (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Ab Crunch Machine,Ab Crunch Machine,Ab Crunch Machine (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,abdominals,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,,yuhonas/free-exercise-db,
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,intermediate,other,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Ab%20Roller.gif,yuhonas_Ab_Roller,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ab_Roller/0.jpg,"Hold the Ab Roller with both hands and kneel on the floor.; Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position.; Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement.; After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.",True,compound,Ab Roller,Ab Roller (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Ab Roller,Ab Roller,Ab Roller (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,abdominals,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,shoulders,yuhonas/free-exercise-db,
Stretching,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,intermediate,foam roll,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Adductor.gif,yuhonas_Adductor,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Adductor/0.jpg,"Lie face down with one leg on a foam roll.; Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated.; While trying to relax the muscles if the inner thigh, roll over the foam between your hip and knee, holding points of tension for 10-30 seconds. Repeat with the other leg.",True,compound,Adductor,Adductor (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Adductor,Adductor,Adductor (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,adductors,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,,yuhonas/free-exercise-db,
Stretching,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,intermediate,None,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Adductor_Groin.gif,yuhonas_Adductor_Groin,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Adductor_Groin/0.jpg,"Lie on your back with your feet raised towards the ceiling.; Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.; Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so.; Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.",True,compound,Adductor/Groin,Adductor/Groin (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Adductor/Groin,Adductor/Groin,Adductor/Groin (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,adductors,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,,yuhonas/free-exercise-db,
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,intermediate,kettlebells,push,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Advanced%20Kettlebell%20Windmill.gif,yuhonas_Advanced_Kettlebell_Windmill,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Advanced_Kettlebell_Windmill/0.jpg,"Clean and press a kettlebell overhead with one arm.; Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell.; Lower yourself as far as possible.; Pause for a second and reverse the motion back to the starting position.",True,compound,Advanced Kettlebell Windmill,Advanced Kettlebell Windmill (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Advanced Kettlebell Windmill,Advanced Kettlebell Windmill,Advanced Kettlebell Windmill (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,abdominals,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,glutes; hamstrings; shoulders,yuhonas/free-exercise-db,
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,beginner,body only,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Air%20Bike.gif,yuhonas_Air_Bike,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Air_Bike/0.jpg,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position.; Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position.; Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out.; Go back to the initial position as you breathe in.; Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale.; Continue alternating in this manner until all of the recommended repetitions for each side have been completed.",True,compound,Air Bike,Air Bike (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Air Bike,Air Bike,Air Bike (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,abdominals,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,,yuhonas/free-exercise-db,
Stretching,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,intermediate,body only,static,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/All%20Fours%20Quad%20Stretch.gif,yuhonas_All_Fours_Quad_Stretch,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/All_Fours_Quad_Stretch/0.jpg,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.; Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors.; Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.",True,compound,All Fours Quad Stretch,All Fours Quad Stretch (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),All Fours Quad Stretch,All Fours Quad Stretch,All Fours Quad Stretch (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,quadriceps,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,quadriceps,yuhonas/free-exercise-db,
Strength,Arching the back too much.; Rushing the repetitions.; Incomplete range of motion.,,beginner,dumbbell,pull,https://raw.githubusercontent.com/omercotkd/exercises-gifs/master/exercises/Alternate%20Hammer%20Curl.gif,yuhonas_Alternate_Hammer_Curl,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Alternate_Hammer_Curl/0.jpg,"Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso.; The palms of the hands should be facing your torso. This will be your starting position.; While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move.; Slowly begin to bring the dumbbells back to starting position as your breathe in.; Repeat the movement with the left hand. This equals one repetition.; Continue alternating in this manner for the recommended amount of repetitions.",True,compound,Alternate Hammer Curl,Alternate Hammer Curl (à¤…à¤¨à¥à¤•à¥‚à¤²à¤¿à¤¤),Alternate Hammer Curl,Alternate Hammer Curl,Alternate Hammer Curl (à¤®à¤°à¤¾à¤ à¥€à¤¤),A highly effective exercise for building strength and stability in the target muscle groups.,biceps,Maintain a neutral spine during the movement.; Exhale on the exertion phase.; Avoid using excessive momentum.,forearms,yuhonas/free-exercise-db,
